id,x,y,z
194,422417.14,2799971.46,14.4
195,422369.94,2800048.92,12.91
196,422402.79,2800010.94,13.6
197,422457.67,2799923.76,13.14
198,422436.26,2799969.24,17.09
199,422446.7,2799954.42,14.74
200,422421.87,2799997.27,15.09
201,422396,2800042.48,12.82
202,422479.46,2799914.39,14.51
203,422410.94,2800029.14,12.97
204,422465.94,2799942.18,14.1
205,422442.71,2799988.33,15.05
206,422495.59,2799905.75,14.77
207,422437.16,2800005.45,14.2
208,422426.86,2800020.94,14.03
209,422498.72,2799930.45,15.1
210,422480.98,2799955,14.94
211,422468.64,2799974.34,15.9
212,422518.61,2799897.03,15.85
213,422513.3,2799913.21,17.24
214,422451.2,2800016.87,13.32
215,422536.93,2799883.64,16.31
216,422490.06,2799973.58,14.05
217,422478.43,2799989.09,14.91
218,422501.66,2799956.68,15.62
219,422474.53,2800007.28,12.99
220,422540.55,2799907.1,17.01
221,422529,2799922.55,16.83
222,422559.8,2799874.48,13.94
223,422517.91,2799951.17,15.65
224,422493.43,2799998.41,12.36
225,422531.15,2799939.84,16.02
226,422577.86,2799870.84,13.11
227,422517.98,2799969.17,13.93
228,422507.41,2799987.46,13.37
229,422591.2,2799857.17,11.69
230,422564.25,2799904.83,16.81
231,422557.01,2799922.46,16.49
232,422534.46,2799964.35,15.5
233,422607.49,2799847.86,12.69
234,422577.72,2799893.28,15.5
235,422545.4,2799950.58,14.01
236,422527.08,2799984.61,13.14
237,422595.52,2799873.75,12.83
238,422574.98,2799927.04,15.15
239,422562.49,2799943.06,14.36
240,422613.77,2799868,11.81
241,422595.4,2799893.38,13.8
242,422589.84,2799910.48,16.97
243,422548.81,2799975.04,14.26
244,422640.34,2799829.32,12.64
245,422562.54,2799960.97,12.92
246,422631.38,2799850.09,11.71
247,422650.72,2799843.92,13.21
248,422631.27,2799869.42,10.81
249,422625.49,2799888.23,11.67
250,422601.61,2799926.14,14.09
251,422586.27,2799953.18,14.9
252,422671.03,2799814.73,13.26
253,422648.84,2799863.03,10.93
254,422618.73,2799919.41,13.64
255,422602.21,2799946.44,13.53
256,422689.17,2799804.33,12.12
257,422671.62,2799832.52,14.05
258,422630.52,2799906.42,11.73
259,422665.26,2799853.39,14.95
260,422617.94,2799936.5,12.76
261,422687.71,2799823.49,13.62
262,422652.28,2799891.76,11.07
263,422688.13,2799841.7,13.48
264,422669.52,2799873.74,12.64
265,422646.02,2799918.28,12.15
266,422710.01,2799814.13,12.37
267,422724.01,2799802.18,11.24
268,422705.05,2799839.37,13.2
269,422672.99,2799901.64,11.59
270,422741.17,2799793.45,12.14
271,422685.91,2799889.92,13.35
272,422708.79,2799858.99,12.64
273,422697.75,2799873.45,13.15
274,422759.79,2799778.53,12.71
275,422737.5,2799819.37,11.62
276,422733.36,2799838.6,12.89
277,422776.47,2799771.58,12.12
278,422753.32,2799808.01,13.01
279,422705.72,2799890.47,12.79
280,422727.41,2799861.94,12.4
281,422768.88,2799799.4,12.83
282,422742.26,2799853.19,12.28
283,422794.9,2799767.35,13.24
284,422783.16,2799790.09,13.67
285,422757.42,2799831.82,11.78
286,422729.84,2799880.61,11.48
287,422816.91,2799753.34,12.41
288,422744.82,2799871.37,11.78
289,422800.12,2799791.49,13.39
290,422790.13,2799806.63,14.4
291,422775.19,2799830.19,14.86
292,422759.49,2799862.56,12.39
293,422816.67,2799770.42,13.7
294,422772.19,2799848.02,13.93
295,422834.04,2799752.16,13.96
296,422819.92,2799788.65,13.1
297,422795.46,2799823.84,14.34
298,422850.57,2799740.1,12.99
299,422808.93,2799811.02,13.69
300,422791.1,2799852.7,13.79
301,422867.42,2799735.26,14.09
302,422840.41,2799773.25,13.37
303,422879.14,2799720.43,14.56
304,422828.73,2799806.34,13.7
305,422844.77,2799792.15,14.37
306,422863.89,2799767.29,12.84
307,422827.55,2799827.57,13.98
308,422817.75,2799848.78,13.51
309,422900.93,2799716.42,15.2
310,422885.69,2799737.67,15.31
311,422863.4,2799789.77,13.41
312,422855.58,2799805.7,13.53
313,422881.46,2799762.55,13.33
314,422844.63,2799829.21,14.29
315,422917.08,2799710.49,16.69
316,422904.06,2799735.07,15.5
317,422896.51,2799750.9,13.85
318,422931.46,2799699.44,14.51
319,422879.76,2799802.74,13.38
320,422862.22,2799826.09,12.43
321,422914.69,2799749.84,14.96
322,422891.39,2799790.17,12.9
323,422952.19,2799696.64,15.56
324,422932.96,2799721.49,15.81
325,422908.72,2799770.38,12.97
326,422878.65,2799820.94,14.91
327,422933.14,2799740.48,15.56
328,422973.36,2799677,15.01
329,422927.91,2799767.96,15.67
330,422919.79,2799783.78,13.33
331,422904.26,2799807.76,12.02
332,422954.81,2799730.74,15.46
333,422943.43,2799759.91,15.06
334,422969.54,2799721.11,15.87
335,423005.65,2799668.64,15.38
336,422981.82,2799707.58,15.63
337,422938,2799792.63,12.75
338,423022.49,2799659.55,17.52
339,423001.01,2799693.72,16.11
340,422965.94,2799757.46,14.56
341,422979.74,2799744.45,15.11
342,422956.08,2799785.64,13.89
343,423019.44,2799687.54,16.4
344,423039.82,2799659.25,15.91
345,423004.85,2799715.69,16.52
346,423033.94,2799676.02,16.86
347,423002.45,2799734.3,16.08
348,422984.88,2799761.45,13.32
349,423023.03,2799709.93,15.87
350,422983.24,2799778.46,12.66
351,423059.47,2799659.09,16.73
352,423037.9,2799693.64,15.94
353,423001.49,2799752.95,15.28
354,423021.37,2799734.72,15.51
355,423001.2,2799771.21,12.35
356,423083.74,2799634.56,16.64
357,423079.98,2799653.39,17.09
358,423055.58,2799690.35,16.07
359,423101.22,2799626.79,16.73
360,423057.21,2799709.67,16.76
361,423047.07,2799725.49,15.85
362,423028.94,2799760.52,15.01
363,423074.14,2799684.43,16.17
364,423043.69,2799743.03,16.13
365,423121.18,2799621.15,15.89
366,423096.4,2799663.14,17.12
367,423110.39,2799641.57,17.34
368,423066.47,2799728.36,16.42
369,423135.03,2799610.44,15.98
370,423103.79,2799679.6,16.47
371,423093.61,2799693.24,16.38
372,423082.86,2799712.71,16.81
373,423060.87,2799748.72,15.37
374,423128.25,2799641.88,17.02
375,423142.79,2799632.05,16.46
376,423118.06,2799669.81,16.86
377,423078.92,2799740.53,15.56
378,423110.73,2799695.81,15.57
379,423101.73,2799712.58,16.81
380,423169.43,2799606.96,15.46
381,423159.14,2799624.15,15.97
382,423098.64,2799731.38,16.15
383,423131.47,2799681.41,15.66
384,423152.7,2799650.14,16.78
385,423143.79,2799665.82,16.86
386,423190.24,2799598.95,14.42
387,423167.88,2799638.96,16.51
388,423117.7,2799719.89,16.6
389,423179.06,2799623.46,16.15
390,423134.39,2799714.27,17.13
391,423196.09,2799617.1,15.69
392,423171.02,2799658.93,16.37
393,423164.31,2799676.06,15.62
394,423211.66,2799596.58,13.77
395,423191.76,2799638.15,16.72
396,423150.04,2799703.79,15.57
397,423226.29,2799584.59,12.99
398,423215.87,2799615.92,15.66
399,423188.16,2799667.28,15.27
400,423182.12,2799683.43,15.75
401,423170.88,2799697.3,14.58
402,423245.01,2799582.99,13.82
403,423232.75,2799600.59,14.25
404,423221.34,2799632.31,16.32
405,423205.85,2799663.6,15.92
406,423238.62,2799618.74,14.97
407,423252.61,2799605.8,14.27
408,423228.12,2799650.67,16.15
409,423208.25,2799685.89,16.04
410,423266.52,2799589.5,13.73
411,423281.92,2799581.73,13.14
412,423270,2799606.34,14.26
413,423258.44,2799630.17,15.24
414,423245.49,2799653.51,15.73
415,423237.84,2799679.17,15.32
416,423290.93,2799603.81,13.48
417,423283.99,2799627.34,14.81
418,423265.02,2799651.38,15.51
419,423314.81,2799574.62,12.5
420,423259.24,2799674.7,16.39
421,423308.85,2799600.92,13.64
422,423301.04,2799620.16,14.58
423,423338.67,2799567.71,10.8
424,423295.31,2799644.74,15.53
425,423277.43,2799671.28,14.98
426,423334.1,2799584.18,13.76
427,423332.85,2799604.61,14.41
428,423297.4,2799666.08,16.44
429,423358.02,2799574.05,13.17
430,423323.57,2799638.78,15.42
431,423371.46,2799561.75,11.36
432,423353.45,2799591.03,13.92
433,423336.36,2799623.06,14.73
434,423349.15,2799610.54,14.72
435,423314.71,2799665.14,14.86
436,423377.39,2799581.84,13.7
437,423395.52,2799559.47,11.37
438,423370.27,2799599.51,14.65
439,423340.19,2799651.69,15.21
440,423359.93,2799629.58,15.32
441,423398.6,2799578.43,13.47
442,423388.43,2799600.49,14.35
443,423379.08,2799620.88,15.03
444,423419.78,2799559.59,10.84
445,423362.29,2799652.01,14.86
446,423409.8,2799594.35,14.22
447,423410.84,2799613.22,15.18
448,423445.35,2799560.52,12.14
449,423431.15,2799582.83,13.5
450,423406.6,2799633.04,15.29
451,423395.63,2799647.26,15.03
452,423462.48,2799561.99,10.97
453,423431.16,2799615.93,14.73
454,423458.23,2799581.87,12.62
455,423415.16,2799652.16,14.69
456,423449.91,2799598.88,14.05
457,423430.78,2799633.45,15.35
458,423480.04,2799575.05,12.31
459,423448.26,2799631.18,15.14
460,423492.61,2799561.93,11.05
461,423473.52,2799594.64,13.41
462,423468.01,2799618.17,14.96
463,423450.33,2799654.52,14.98
464,423466.84,2799635.4,14.94
465,423512.37,2799568.35,12.05
466,423500.35,2799583.31,12.37
467,423497.94,2799602.1,13.47
468,423488.7,2799620.71,14.8
469,423530.17,2799566.65,12.66
470,423496.56,2799635.99,15.15
471,423510.51,2799616.78,14.2
472,423486.93,2799655.47,14.82
473,423527.47,2799593.08,13.18
474,423544.11,2799580.08,13.86
475,423515.06,2799634.07,14.7
476,423530.18,2799611.04,13.87
477,423505.06,2799657,14.94
478,423561.99,2799571.02,13.8
479,423544.44,2799597.48,13.06
480,423532.72,2799628.94,14.35
481,423530.55,2799646.76,14.84
482,423549.37,2799620.44,14.11
483,423562.78,2799604.63,13.68
484,423583.11,2799584.39,12.99
485,423550.95,2799641.1,14.56
486,423581.39,2799604.48,13.41
487,423570.68,2799633.38,14.42
488,423557.89,2799663.09,14.87
489,423603,2799599.94,13.27
490,423614.88,2799585.96,12.04
491,423594.29,2799619.52,14.53
492,423590.76,2799636.43,15.21
493,423577.81,2799662.87,15.04
494,423611.25,2799616.55,13.84
495,423634.07,2799590.96,12.71
496,423629.98,2799610.95,14.54
497,423609.08,2799646.56,14.86
498,423597.4,2799668.43,14.85
499,423623.59,2799628.39,14.65
500,423649.83,2799604.7,13.51
501,423626.94,2799646.05,14.65
502,423616.52,2799662.01,14.96
503,423644.06,2799620.86,14.24
504,423643.15,2799652.36,15.51
505,423624.53,2799681.04,14.74
506,423671.2,2799609.81,14.06
507,423659.83,2799631.95,14.79
508,423645.7,2799673.49,15.08
509,423676.67,2799628.13,14.17
510,423662.84,2799649.26,15.43
511,423680.67,2799644.78,15.07
512,423664.61,2799669.33,15.5
513,423655.58,2799688.11,14.26
514,423700.58,2799616.55,13.77
515,423697.79,2799635.59,14.16
516,423682.42,2799665.25,15.31
517,423695.96,2799654.71,15.45
518,423689.18,2799681.28,14.65
519,423678.14,2799696.87,13.37
520,423726.1,2799622.33,14.04
521,423714.28,2799656.61,15.14
522,423724.46,2799642.22,14.79
523,423700.38,2799699.96,14.17
524,423750.44,2799627.25,14.68
525,423716.27,2799686.34,14.58
526,423732.16,2799676.19,15.39
527,423716.49,2799708.47,13.51
528,423753.08,2799655.87,14.92
529,423773.14,2799634.6,14.21
530,423749.68,2799672.7,16
531,423733.14,2799699.66,14.51
532,423752.2,2799697.96,14.7
533,423741.88,2799718.03,13.65
534,423796.87,2799632.07,13.9
535,423776.42,2799667.74,15.53
536,423786.92,2799653.41,14.23
537,423775.56,2799693.59,15.57
538,423764.37,2799720.22,14.4
539,423804.73,2799654.92,14.38
540,423789.18,2799679.98,16.14
541,423822.22,2799633.96,14.03
542,423782.35,2799710.28,15.03
543,423806.69,2799676.73,15.57
544,423799.11,2799697.73,15.37
545,423832.36,2799648.35,14.48
546,423786.56,2799728.78,14.56
547,423826.61,2799670.86,14.86
548,423799.6,2799716.23,15.42
549,423852.67,2799644.42,14.63
550,423814.28,2799707.24,15.34
551,423847.86,2799663.95,14.37
552,423826.35,2799694.85,16.4
553,423809.64,2799731.42,14.69
554,423842.04,2799683.65,15.89
555,423872.81,2799651.04,14.22
556,423838.09,2799709.16,15.57
557,423860.38,2799676.8,15.04
558,423855.94,2799696.11,16.27
559,423830.79,2799737.25,14.9
560,423844.98,2799725.35,15.74
561,423884.36,2799678.03,15.47
562,423874.54,2799694.77,16.36
563,423860.94,2799717.98,15.65
564,423899.8,2799656.42,14.66
565,423858.26,2799744.32,15.67
566,423901.27,2799674.34,15.71
567,423881.99,2799723.66,15.66
568,423900,2799699.54,16.68
569,423928.37,2799664.97,14.94
570,423884.86,2799751.08,15.97
571,423919.51,2799698.52,16.2
572,423931.93,2799683.84,15.81
573,423902.67,2799734.37,15.96
574,423948.02,2799669.26,14.4
575,423916.8,2799716.92,17.16
576,423941.28,2799698.41,16.29
577,423922.19,2799736.2,15.96
578,423909.09,2799756.23,15.87
579,423970.79,2799679.93,15.02
580,423962.72,2799695.45,16.25
581,423939.17,2799729.73,16.83
582,423964.12,2799713.68,16.58
583,423932.76,2799760.5,15.83
584,423989.93,2799686.14,15.9
585,423954.65,2799741.51,16.08
586,423978.02,2799724.02,16.92
587,423990.63,2799711.3,16.2
588,423973,2799745.08,16.01
589,423958.76,2799771.4,14.87
590,424005.2,2799695.02,14.87
591,423998.29,2799733.01,16.7
592,423989.6,2799753.9,16.68
593,423978.12,2799771.38,15.19
594,424023.42,2799707.18,15.68
595,424004.71,2799763.84,15.75
596,423995.5,2799779.41,14.39
597,424021.44,2799737.92,16.13
598,424045.5,2799705.27,15.39
599,424038.71,2799732.71,16.11
600,424055.29,2799724.36,16.18
601,424025.86,2799773.53,15.57
602,424044.56,2799751.08,16.43
603,424019.22,2799792.14,14.63
604,424080.7,2799710.71,15.45
605,424068.34,2799739.69,16.2
606,424047.09,2799773.1,15.01
607,424038.56,2799792.75,15.34
608,424066.15,2799767.48,16.06
609,424102.62,2799715.32,15.46
610,424091.71,2799739.73,15.83
611,424082.91,2799757.66,15.96
612,424069.82,2799787.13,14.45
613,424058.33,2799803.54,13.33
614,424113.05,2799732.74,15.68
615,424106.93,2799749.49,15.29
616,424087.58,2799780.96,15.12
617,424102.09,2799766.76,15.97
618,424089.41,2799799.28,13.78
619,424133.05,2799734.31,15.13
620,424123.25,2799755.5,15.37
621,424106.39,2799796.27,14.28
622,424117.18,2799780.1,15.13
623,424100.4,2799814.5,12.95
624,424150.4,2799731.77,14.58
625,424140.24,2799762.55,15.24
626,424123.81,2799800.71,13.66
627,424157.06,2799754.81,16.09
628,424122.69,2799822.05,13.14
629,424175.28,2799740.89,15.28
630,424151.15,2799782.98,15.03
631,424174.88,2799761.99,15.3
632,424153.34,2799800.02,13.95
633,424192.43,2799746.04,15.13
634,424169.72,2799783.04,14.99
635,424147.51,2799822.26,15.76
636,424163.98,2799813.28,13.79
637,424188,2799778,14.76
638,424166.79,2799831.72,14.2
639,424204.48,2799768.53,15.36
640,424184.6,2799806.88,13.61
641,424218.67,2799754.04,14.83
642,424202.55,2799788.08,14.83
643,424195.91,2799821.36,13.87
644,424187,2799839.93,13.73
645,424231.64,2799770.78,15.35
646,424219.11,2799795.94,14.4
647,424209.61,2799810.24,14
648,424211.69,2799829.37,14.64
649,424252.24,2799765.82,14.69
650,424248.75,2799783.39,15.7
651,424226.53,2799820.03,13.74
652,424248.12,2799800.51,14.18
653,424269.62,2799770.8,15.24
654,424221.64,2799848.52,14.75
655,424265.96,2799789.39,15.81
656,424246.04,2799818.28,14.72
657,424287.31,2799775.61,14.71
658,424271.31,2799807.6,14.67
659,424254.09,2799835.67,13.59
660,424244.01,2799856.88,13.16
661,424283.62,2799793.6,15.6
662,424306.26,2799778.62,14.94
663,424281.85,2799826.95,14.82
664,424274.19,2799845.37,14.18
665,424260.82,2799865.25,15.27
666,424296.98,2799816.8,14.47
667,424314.31,2799796.28,15.7
668,424295.84,2799836.7,14.11
669,424278.9,2799869.26,13.04
670,424332.71,2799789.1,14.27
671,424294.04,2799854.56,13.74
672,424314.74,2799837.35,14.39
673,424329.74,2799824.24,14.26
674,424300.41,2799878.61,12.42
675,424315.16,2799858.07,13.15
676,424352.38,2799802.41,14.92
677,424338.4,2799839.64,13.9
678,424350.64,2799825.95,15.02
679,424333.3,2799859.91,12.63
680,424324.24,2799883.64,11.56
681,424376.78,2799812.54,14.79
682,424363.71,2799839.18,14.01
683,424342.17,2799880.83,12.2
684,424355.84,2799869.58,13.34
685,424388.92,2799832.29,15.19
686,424378.69,2799849.23,13.98
687,424348.95,2799898.64,11.8
688,424361.31,2799886.91,12.6
689,424375.72,2799872.77,14.18
690,424411.47,2799822.69,14.12
691,424405.35,2799843.88,14.84
692,424369.15,2799908.16,11.53
693,424399.11,2799860.35,13.91
694,424380.86,2799892.28,13.38
695,424425.05,2799833.36,15.1
696,424396.46,2799877.85,14.76
697,424417.28,2799863.34,14.01
698,424398.08,2799898.85,14.37
699,424387.53,2799915.3,11.94
700,424442.8,2799836.17,14.92
701,424433.76,2799852.97,14.87
702,424411.96,2799888.95,13.78
703,424436.02,2799870.37,13.67
704,424422.37,2799907.94,14.06
705,424416.98,2799926.71,12.7
706,424453.97,2799865.08,14.6
707,424473.35,2799845.35,14.44
708,424453.64,2799882.22,13.94
709,424441.2,2799898.09,13.28
710,424438.75,2799915.69,13.71
711,424470.66,2799880.43,14.18
712,424491.09,2799855.5,14.82
713,424462.23,2799901.28,14.21
714,424458.62,2799919.52,13.4
715,424455.65,2799941.07,12.47
716,424500.15,2799871.4,16.1
717,424486.05,2799890.19,14.19
718,424480.73,2799921.95,13.72
719,424474.3,2799940.47,12.68
720,424520.82,2799868.55,15.09
721,424510.99,2799884.94,14.91
722,424502.24,2799903.72,14.69
723,424493.82,2799935.05,13.71
724,424487.15,2799952.63,13.25
725,424538.12,2799871.63,14.86
726,424511.87,2799928.81,14.57
727,424538.36,2799894.48,14.85
728,424525.6,2799912,14.39
729,424504.2,2799961.49,12.15
730,424517.18,2799949.08,14.02
731,424544.1,2799914.65,13.95
732,424535.97,2799932.98,13.89
733,424565.24,2799890.95,14.43
734,424529.14,2799967.67,12.94
735,424561.9,2799921.01,13.86
736,424550.51,2799945.31,13.78
737,424585.16,2799891.99,14.31
738,424587.51,2799913.48,14.86
739,424565.45,2799957.29,13.72
740,424550.55,2799978.64,13.31
741,424600.17,2799901.77,14.97
742,424581.16,2799934.6,13.98
743,424598.33,2799928.76,13.74
744,424617.34,2799903.1,14.34
745,424588.51,2799955.05,13.95
746,424584.1,2799972.74,13.61
747,424576.17,2799988.25,13.18
748,424616.66,2799925.3,14.23
749,424604.57,2799945.65,14.11
750,424622.39,2799941.76,13.39
751,424614.07,2799961.11,14.46
752,424600.98,2799981.88,13.69
753,424647.16,2799915.14,14.22
754,424637.14,2799931.37,14.7
755,424618.18,2799978.65,15.16
756,424602.79,2799999.65,12.3
757,424630.91,2799966.03,14.77
758,424657.72,2799929.26,14.88
759,424640.87,2799950.84,13.67
760,424623.54,2800005.94,13.05
761,424666.02,2799944.65,14.48
762,424649.05,2799970.06,14.42
763,424639.07,2799984.41,14.02
764,424681.63,2799929.18,14.12
765,424664.54,2799961.96,14.06
766,424640.17,2800011.06,13.15
767,424656.06,2799987.09,13.46
768,424675.87,2799977.03,14
769,424686.76,2799961.16,14.46
770,424656.94,2800015.1,13.39
771,424675.54,2799994.94,13.25
772,424709.11,2799948.59,15.01
773,424694.3,2799982.86,14.2
774,424670.26,2800026.21,12.67
775,424691.58,2800002.05,13.38
776,424711.97,2799971.54,14.67
777,424731.5,2799949.97,14.17
778,424689,2800032.69,13.29
779,424709.63,2800008.84,13.74
780,424723.06,2799987.86,14.06
781,424743.41,2799963.63,15.22
782,424739.41,2799980.3,14.68
783,424719.25,2800024.07,13.66
784,424706.23,2800041.22,12.89
785,424736.35,2800012.97,14.27
786,424763.38,2799968.35,14.64
787,424748.52,2799997.1,14.01
788,424723.3,2800049.07,13.13
789,424765.78,2799997.22,14.51
790,424756.24,2800012.82,13.92
791,424739.98,2800044.37,13.5
792,424779.84,2799980.24,15.85
793,424751.05,2800029.6,13.79
794,424776.31,2800011.51,14.09
795,424788.66,2799996.85,14.98
796,424751.39,2800066.14,12.63
797,424805.07,2799986.96,14.72
798,424773.87,2800041.8,13.78
799,424789.49,2800023.03,13.95
800,424802.37,2800010.95,14.59
801,424793,2800044.01,13.88
802,424781.4,2800058.21,13.47
803,424779.11,2800076.97,12.91
804,424807.49,2800032.68,14.07
805,424834.57,2800001.5,15.08
806,424823.18,2800025.54,14.47
807,424808.77,2800054.14,14.01
808,424796.87,2800086.38,12.72
809,424826.45,2800042.79,14.13
810,424807.55,2800072.36,13.86
811,424853.43,2800009.29,14.53
812,424824.24,2800069.05,13.99
813,424847.33,2800037.12,14.44
814,424837.55,2800056.03,14.32
815,424818.18,2800093.61,13
816,424855.84,2800055.59,14.22
817,424865.31,2800040.37,14.6
818,424846.02,2800074.97,13.93
819,424837.78,2800098.39,13.35
820,424882.99,2800020.49,15.24
821,424876.72,2800059.96,14.37
822,424859.62,2800085.71,13.81
823,424892.19,2800051.69,14.74
824,424855.88,2800109.1,12.82
825,424906.16,2800031.06,16.23
826,424881.48,2800078.01,14.25
